Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.48,-0.09,down,2025-06-20,14:08:18,Open,20/06/25 14:05pm
BHL,14.51,0.01,up,2025-06-20,14:08:18,Open,20/06/25 14:05pm
FDHB,314.0,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
FMBCH,1000.04,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
ICON,17.95,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
ILLOVO,1791.36,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
MPICO,19.01,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
NBM,6200.29,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
NBS,620.44,79.34,up,2025-06-20,14:08:18,Open,20/06/25 14:05pm
NICO,776.37,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
NITL,820.03,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
OMU,2500.03,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
PCL,3999.98,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
STANDARD,10999.54,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
SUNBIRD,350.01,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
TNM,23.04,0.0,no change,2025-06-20,14:08:18,Open,20/06/25 14:05pm
