Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.64,-0.13,down,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
BHL,14.51,0.0,no change,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
FDHB,313.99,-0.01,down,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
FMBCH,1000.03,0.01,up,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
ICON,17.94,-0.01,down,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
ILLOVO,1791.36,-0.01,down,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
MPICO,19.01,0.0,no change,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
NBM,6200.27,0.01,up,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
NBS,500.01,29.5,up,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
NICO,776.36,-0.01,down,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
NITL,820.03,0.0,no change,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
OMU,2500.03,0.0,no change,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
PCL,3999.98,0.0,no change,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
STANDARD,10938.2,0.0,up,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
SUNBIRD,350.01,0.0,no change,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
TNM,23.01,-0.03,down,2025-06-17,17:00:13,Closed,17/06/25 17:00pm
