Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.48,-0.08,down,2025-06-23,11:51:31,Open,23/06/25 11:50am
BHL,14.55,0.05,up,2025-06-23,11:51:31,Open,23/06/25 11:50am
FDHB,314.0,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
FMBCH,1000.04,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
ICON,17.95,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
ILLOVO,1791.36,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
MPICO,19.01,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
NBM,6200.29,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
NBS,650.0,29.58,up,2025-06-23,11:51:31,Open,23/06/25 11:50am
NICO,854.01,9.79,up,2025-06-23,11:51:31,Open,23/06/25 11:50am
NITL,820.04,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
OMU,2500.03,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
PCL,3999.98,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
STANDARD,10999.54,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
SUNBIRD,350.01,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
TNM,23.04,0.0,no change,2025-06-23,11:51:31,Open,23/06/25 11:50am
