Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.6,-0.04,down,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
BHL,14.51,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
FDHB,314.0,0.01,up,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
FMBCH,1000.03,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
ICON,17.94,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
ILLOVO,1791.36,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
MPICO,19.01,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
NBM,6200.28,0.01,up,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
NBS,539.51,39.5,up,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
NICO,776.37,0.01,up,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
NITL,820.03,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
OMU,2500.03,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
PCL,3999.98,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
STANDARD,10999.54,61.34,up,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
SUNBIRD,350.01,0.0,no change,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
TNM,23.04,0.03,up,2025-06-18,18:27:01,Closed,18/06/25 17:00pm
