Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.79,-0.06,down,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
BHL,14.51,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
FDHB,314.0,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
FMBCH,1000.01,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
ICON,17.95,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
ILLOVO,1791.38,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
MPICO,19.01,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
NBM,6200.27,0.01,up,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
NBS,469.27,61.2,up,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
NICO,748.66,23.02,up,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
NITL,820.02,0.02,up,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
OMU,2500.03,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
PCL,3999.98,-0.01,down,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
STANDARD,9511.51,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
SUNBIRD,350.01,0.0,no change,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
TNM,23.04,0.05,up,2025-06-15,11:16:55,Closed,13/06/25 17:00pm
