Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.48,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
BHL,14.55,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
FDHB,314.0,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
FMBCH,1000.04,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
ICON,17.94,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
ILLOVO,1791.34,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
MPICO,19.02,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
NBM,6200.35,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
NBS,708.52,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
NICO,854.01,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
NITL,820.04,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
OMU,2500.03,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
PCL,4000.01,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
STANDARD,10999.54,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
SUNBIRD,350.01,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
TNM,26.4,0.0,no change,2025-06-25,09:33:52,Open,25/06/25 09:30am
