Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.48,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
BHL,14.55,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
FDHB,314.01,0.01,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
FMBCH,1000.04,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
ICON,17.94,-0.01,down,2025-06-24,13:15:19,Open,24/06/25 13:15pm
ILLOVO,1791.34,-0.02,down,2025-06-24,13:15:19,Open,24/06/25 13:15pm
MPICO,19.02,0.01,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
NBM,6200.35,0.01,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
NBS,709.9,26.54,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
NICO,854.01,0.01,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
NITL,820.04,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
OMU,2500.03,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
PCL,4000.0,0.02,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
STANDARD,10999.54,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
SUNBIRD,350.01,0.0,no change,2025-06-24,13:15:19,Open,24/06/25 13:15pm
TNM,26.4,3.36,up,2025-06-24,13:15:19,Open,24/06/25 13:15pm
