Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.77,-0.02,down,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
BHL,14.51,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
FDHB,314.0,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
FMBCH,1000.02,0.01,up,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
ICON,17.95,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
ILLOVO,1791.37,-0.01,down,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
MPICO,19.01,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
NBM,6200.26,-0.01,down,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
NBS,470.51,1.24,up,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
NICO,776.37,27.71,up,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
NITL,820.03,0.01,up,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
OMU,2500.03,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
PCL,3999.98,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
STANDARD,9511.51,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
SUNBIRD,350.01,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
TNM,23.04,0.0,no change,2025-06-16,16:30:44,Post-Close,16/06/25 16:30pm
