Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.58,-0.02,down,2025-06-19,13:39:05,Open,19/06/25 13:35pm
BHL,14.5,-0.01,down,2025-06-19,13:39:05,Open,19/06/25 13:35pm
FDHB,314.0,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
FMBCH,1000.03,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
ICON,17.95,0.01,up,2025-06-19,13:39:05,Open,19/06/25 13:35pm
ILLOVO,1791.36,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
MPICO,19.01,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
NBM,6200.29,0.01,up,2025-06-19,13:39:05,Open,19/06/25 13:35pm
NBS,541.13,1.62,up,2025-06-19,13:39:05,Open,19/06/25 13:35pm
NICO,776.37,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
NITL,820.03,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
OMU,2500.03,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
PCL,3999.98,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
STANDARD,10999.54,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
SUNBIRD,350.01,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
TNM,23.04,0.0,no change,2025-06-19,13:39:05,Open,19/06/25 13:35pm
